id,rootname,filter,expstart,targname
337032,iegn13p2q,F814W,59219.17578,TUNGSTEN
337033,iegn13oqq,F814W,59219.14063,TUNGSTEN
337034,iegn13p1q,F814W,59219.17578,TUNGSTEN
337037,iegn13ozq,F814W,59219.16797,TUNGSTEN
337488,iegn14boq,F814W,59225.14844,TUNGSTEN
337629,iegn14bdq,F814W,59225.11328,TUNGSTEN
337631,iegn14bmq,F814W,59225.14063,TUNGSTEN
337489,iegn14bpq,F814W,59225.15234,TUNGSTEN
338479,iegg03z5q,F814W,59235.11328,GD153
338471,iegg03z6q,F814W,59235.11719,GD153
338592,iefk21niq,F814W,59237.32031,DARK
338596,iefk21mcq,F814W,59237.24219,BIAS
338597,iefk21o2q,F814W,59237.34766,DARK
338593,iefk21n4q,F814W,59237.30859,DARK
338590,iefk21nyq,F814W,59237.33594,DARK
338598,iefk21mkq,F814W,59237.25781,DARK
338595,iefk21njq,F814W,59237.32031,DARK
338591,iefk21mzq,F814W,59237.27344,DARK
338594,iefk21mdq,F814W,59237.24219,BIAS
338613,iegn15duq,F814W,59239.32031,TUNGSTEN
338612,iegn15dlq,F814W,59239.29688,TUNGSTEN
338917,ieg814ccq,F814W,59240.75781,DARK
338753,ieg814c9q,F814W,59240.75,DARK
338752,ieg814caq,F814W,59240.75391,DARK
338916,ieg814cdq,F814W,59240.76172,DARK
338760,iegn15dwq,F814W,59239.33203,TUNGSTEN
338930,iegn15dxq,F814W,59239.33203,TUNGSTEN
338769,ieg626acq,F814W,59240.62891,DARK
338948,ieg629z7q,F814W,59240.57422,DARK
338949,ieg627yoq,F814W,59240.49609,DARK
338951,ieg628z5q,F814W,59240.55859,DARK
339297,iegn16foq,F814W,59246.84375,TUNGSTEN
339302,iegn16ffq,F814W,59246.82031,TUNGSTEN
339277,iegn16fqq,F814W,59246.85547,TUNGSTEN
339299,iegn16frq,F814W,59246.85547,TUNGSTEN
339338,iege13hwq,F814W,59247.17578,P330E
339471,ieea06cpq,F814W,59246.33984,NAME-F8D1
339707,iege14c3q,F814W,59253.19531,P330E
339629,iege14csq,F814W,59253.25391,P330E
339895,iegn17pdq,F814W,59254.34766,TUNGSTEN
339889,iegn17paq,F814W,59254.33594,TUNGSTEN
339892,iegn17p1q,F814W,59254.3125,TUNGSTEN
339930,iegn17pcq,F814W,59254.34375,TUNGSTEN
340793,iegn18e7q,F814W,59267.89844,TUNGSTEN
340796,iegn18e6q,F814W,59267.89844,TUNGSTEN
340799,iegn18e4q,F814W,59267.88672,TUNGSTEN
340798,iegn18dvq,F814W,59267.86328,TUNGSTEN
340801,iegb12dnq,F814W,59267.76172,BIAS
340800,iegb12dmq,F814W,59267.76172,BIAS
340803,iegb12diq,F814W,59267.75,BIAS
340802,iegb12dkq,F814W,59267.75,BIAS
341214,iegn19glq,F814W,59274.9375,TUNGSTEN
341215,iegn19g9q,F814W,59274.90234,TUNGSTEN
341216,iegn19gkq,F814W,59274.93359,TUNGSTEN
341772,iegn19giq,F814W,59274.92578,TUNGSTEN
342230,iegg04d0q,F814W,59295.17578,GRW+70D5824
342217,iegg04d2q,F814W,59295.17578,GRW+70D5824
342257,iege07bsq,F814W,59295.09375,GRW+70D
342253,iege07arq,F814W,59295.05469,GRW+70D
342372,ieg646jwq,F814W,59296.15234,DARK
342401,iege12jdq,F814W,59296.10156,GRW+70D
342390,iege12juq,F814W,59296.12109,GRW+70D
342455,ieg821q2q,F814W,59297.47656,DARK
342457,ieg821psq,F814W,59297.46484,DARK
342461,ieg821pwq,F814W,59297.46875,DARK
342459,ieg821q1q,F814W,59297.47266,DARK
342465,ieg821q0q,F814W,59297.47266,DARK
342458,ieg821pyq,F814W,59297.46875,DARK
342467,ieg821pzq,F814W,59297.47266,DARK
342466,ieg821q3q,F814W,59297.47656,DARK
342460,ieg821pvq,F814W,59297.46875,DARK
342464,ieg821ptq,F814W,59297.46484,DARK
342456,ieg821q4q,F814W,59297.47656,DARK
342462,ieg821prq,F814W,59297.46094,DARK
342463,ieg821pxq,F814W,59297.46875,DARK
342468,ieg821puq,F814W,59297.46484,DARK
342472,ieg820qbq,F814W,59297.53125,DARK
342470,ieg820qaq,F814W,59297.52734,DARK
342469,ieg820qdq,F814W,59297.53516,DARK
342471,ieg820qeq,F814W,59297.53906,DARK
342500,iegn21pgq,F814W,59297.38672,TUNGSTEN
342497,iegn21p5q,F814W,59297.35156,TUNGSTEN
342499,iegn21phq,F814W,59297.38672,TUNGSTEN
342502,iegn21peq,F814W,59297.375,TUNGSTEN
342836,iegn22nwq,F814W,59301.61719,TUNGSTEN
342839,iegn22nlq,F814W,59301.58203,TUNGSTEN
342838,iegn22nxq,F814W,59301.61719,TUNGSTEN
342843,iegn22nuq,F814W,59301.60547,TUNGSTEN
343196,iegn23efq,F814W,59308.23047,TUNGSTEN
343197,iegn23eeq,F814W,59308.22656,TUNGSTEN
343195,iegn23e3q,F814W,59308.19531,TUNGSTEN
343200,iegn23ecq,F814W,59308.21875,TUNGSTEN
343241,iege04crq,F814W,59307.73047,GD153
343244,iege04d6q,F814W,59307.78516,GD153
343319,iegk38cgq,F814W,59309.33594,DARK
343320,iegk38ceq,F814W,59309.33203,DARK
343321,iegk38cfq,F814W,59309.33594,DARK
