id,rootname,filter,expstart,targname
63222,ib5s05kkq,F814W,55593.25781,IC348
63223,ib5s05kmq,F814W,55593.26172,IC348
63224,ib5s05kpq,F814W,55593.26953,IC348
63226,ib5s05ktq,F814W,55593.27344,IC348
63227,ib5s05kvq,F814W,55593.27734,IC348
63228,ib5s05kyq,F814W,55593.28125,IC348
63229,ib5s05kzq,F814W,55593.28516,IC348
63230,ib5s05l0q,F814W,55593.29297,IC348
63231,ib5s05l2q,F814W,55593.32422,IC348
63233,ib5s05l5q,F814W,55593.32813,IC348
63234,ib5s05l8q,F814W,55593.33203,IC348
63236,ib5s05lbq,F814W,55593.33594,IC348
63238,ib5s05ldq,F814W,55593.34375,IC348
63240,ib5s05lgq,F814W,55593.34766,IC348
63241,ib5s05lhq,F814W,55593.35156,IC348
63242,ib5s05liq,F814W,55593.35547,IC348
63244,ib5s05lkq,F814W,55593.39063,IC348
63245,ib5s05lnq,F814W,55593.39453,IC348
63246,ib5s05lqq,F814W,55593.39844,IC348
63247,ib5s05ltq,F814W,55593.40234,IC348
63248,ib5s05lvq,F814W,55593.41016,IC348
63250,ib5s05lyq,F814W,55593.41406,IC348
63251,ib5s05lzq,F814W,55593.41797,IC348
63252,ib5s05m0q,F814W,55593.42188,IC348
217836,icxv03fvq,F814W,57593.01563,ANY
217837,icxv03g5q,F814W,57593.06641,ANY
217839,icxv03h3q,F814W,57593.14453,ANY
217840,icxv03h8q,F814W,57593.15234,ANY
217898,icxv03emq,F606W,57592.88281,ANY
217897,icxv03erq,F606W,57592.89063,ANY
217899,icxv03f9q,F606W,57592.94922,ANY
217900,icxv03feq,F606W,57592.95703,ANY
80696,ib7789ttq,F555W,55182.33594,NGC1786
80700,ib7789tvq,F555W,55182.34375,NGC1786
238723,id8s01m5q,F336W,57841.55859,RUPRECHT-106
238725,id8s01m6q,F336W,57841.60156,RUPRECHT-106
116490,ibrf04b4q,F606W,56572.09375,G105-30-SOURCE
116494,ibrf04b6q,F606W,56572.10156,G105-30-SOURCE
116498,ibrf04b8q,F606W,56572.10938,G105-30-SOURCE
116499,ibrf04baq,F606W,56572.11719,G105-30-SOURCE
122187,ibwp01qiq,F606W,55902.26563,MBC-300163
122192,ibwp01qkq,F606W,55902.27344,MBC-300163
122382,ibwp02atq,F606W,55910.85547,MBC-300163
122375,ibwp02avq,F606W,55910.85938,MBC-300163
246569,idaj01v1q,F606W,57976.20313,OGLE-2011-BLG-462
246574,idaj01v3q,F814W,57976.20703,OGLE-2011-BLG-462
246575,idaj01v4q,F814W,57976.21094,OGLE-2011-BLG-462
246576,idaj01v5q,F814W,57976.21875,OGLE-2011-BLG-462
246571,idaj01vaq,F606W,57976.26563,OGLE-2011-BLG-462
246572,idaj01vbq,F606W,57976.27344,OGLE-2011-BLG-462
246577,idaj01vcq,F814W,57976.27734,OGLE-2011-BLG-462
166709,ic9t44f9q,F814W,56717.52734,V-FF-AQL
166710,ic9t44faq,F555W,56717.52734,V-FF-AQL
166712,ic9t44fbq,F555W,56717.52734,V-FF-AQL
166721,ic9t44fcq,F555W,56717.53125,V-FF-AQL
166725,ic9t44fdq,F555W,56717.53125,V-FF-AQL
166728,ic9t44feq,F814W,56717.53516,V-FF-AQL
166732,ic9t44ffq,F814W,56717.53516,V-FF-AQL
174468,icdm11fxq,F336W,56717.64063,NGC3351
174469,icdm11fzq,F336W,56717.64453,NGC3351
174473,icdm11g1q,F336W,56717.64844,NGC3351
174455,icdm11giq,F814W,56717.72656,NGC3351
250621,id7002o9q,F606W,58041.72266,MCBRIDGE-QSO2
250620,id7002ohq,F814W,58041.75,MCBRIDGE-QSO2
160947,icau0gfgq,F336W,56640.55078,NGC-5286
257501,idfu03o1q,F606W,58114.64844,288P
257498,idfu03o2q,F606W,58114.65234,288P
257494,idfu03o3q,F606W,58114.65625,288P
257496,idfu03o4q,F606W,58114.66016,288P
257495,idfu03o5q,F606W,58114.66406,288P
257497,idfu03o6q,F606W,58114.66797,288P
257500,idfu03o7q,F606W,58114.67188,288P
257499,idfu03o8q,F606W,58114.67578,288P
267383,idq26mdqq,F606W,58236.03516,ANY
267453,idh207nrq,F814W,58237.95703,L130
267792,idj001ltq,F606W,58240.03906,SDSS-J132921.43+372450.4
269556,idi519obq,F555W,58260.59766,OGL590
271103,id8cl1ezq,F814W,58278.41797,GRB170817A
271108,id8cl1f0q,F814W,58278.42969,GRB170817A
271107,id8cl1f1q,F814W,58278.44141,GRB170817A
271102,id8cl1f3q,F814W,58278.48047,GRB170817A
271104,id8cl1f4q,F814W,58278.49219,GRB170817A
271105,id8cl1f6q,F814W,58278.50391,GRB170817A
271140,idj602krq,F555W,58279.71094,TR15529
271139,idj602ksq,F555W,58279.71094,TR15529
271134,idj602kuq,F555W,58279.71484,TR15529
271133,idj602kvq,F814W,58279.71875,TR15529
271141,idj602kxq,F814W,58279.72656,TR15529
271127,idj604g1q,F555W,58278.70703,TR22056
271120,idj604g2q,F555W,58278.71094,TR22056
271122,idj604g3q,F555W,58278.71094,TR22056
271123,idj604g4q,F555W,58278.71484,TR22056
271126,idj604g5q,F555W,58278.71484,TR22056
271124,idj604g6q,F555W,58278.71875,TR22056
271164,idgl01b2q,F814W,58277.44141,3C264
271169,idgl01b4q,F814W,58277.44922,3C264
271161,idgl01b6q,F814W,58277.45313,3C264
271157,idjq06fwq,F555W,58278.64844,NGC-5838
271151,idjq06fxq,F555W,58278.64844,NGC-5838
271160,idjq06fyq,F555W,58278.65234,NGC-5838
271156,idjq06fzq,F555W,58278.65625,NGC-5838
271325,idq238e9q,F606W,58280.43359,ANY
271894,idq241ndq,F814W,58286.89453,ANY
271897,idq241neq,F814W,58286.90234,ANY
271895,idq241niq,F606W,58286.91406,ANY
271896,idq241nkq,F606W,58286.92188,ANY
272372,idq219n1q,F606W,58296.17969,ANY
276425,icte11b5q,F814W,58350.12891,LUHMAN16AB-RICCIOLO-1
